service_id,date,exception_type
chouette:TimeTable:61863f79-0ca9-487c-959e-a463224a7fd8:LOC,20231218,1
chouette:TimeTable:61863f79-0ca9-487c-959e-a463224a7fd8:LOC,20231219,1
chouette:TimeTable:61863f79-0ca9-487c-959e-a463224a7fd8:LOC,20231220,1
chouette:TimeTable:61863f79-0ca9-487c-959e-a463224a7fd8:LOC,20231221,1
chouette:TimeTable:61863f79-0ca9-487c-959e-a463224a7fd8:LOC,20231222,1
chouette:TimeTable:2a57b814-4967-431b-8d9d-cc9e331b2b7f:LOC,20231126,1
chouette:TimeTable:2a57b814-4967-431b-8d9d-cc9e331b2b7f:LOC,20231203,1
chouette:TimeTable:2a57b814-4967-431b-8d9d-cc9e331b2b7f:LOC,20231210,1
chouette:TimeTable:2a57b814-4967-431b-8d9d-cc9e331b2b7f:LOC,20231217,1
chouette:TimeTable:493903d8-1f20-4bd5-94d7-f65007f99178:LOC,20231125,1
chouette:TimeTable:493903d8-1f20-4bd5-94d7-f65007f99178:LOC,20231202,1
chouette:TimeTable:493903d8-1f20-4bd5-94d7-f65007f99178:LOC,20231209,1
chouette:TimeTable:493903d8-1f20-4bd5-94d7-f65007f99178:LOC,20231216,1
chouette:TimeTable:b00b8c68-5cf9-4223-bb6a-bbb83f1e7ea4:LOC,20231127,1
chouette:TimeTable:b00b8c68-5cf9-4223-bb6a-bbb83f1e7ea4:LOC,20231128,1
chouette:TimeTable:b00b8c68-5cf9-4223-bb6a-bbb83f1e7ea4:LOC,20231129,1
chouette:TimeTable:b00b8c68-5cf9-4223-bb6a-bbb83f1e7ea4:LOC,20231130,1
chouette:TimeTable:b00b8c68-5cf9-4223-bb6a-bbb83f1e7ea4:LOC,20231201,1
chouette:TimeTable:b00b8c68-5cf9-4223-bb6a-bbb83f1e7ea4:LOC,20231204,1
chouette:TimeTable:b00b8c68-5cf9-4223-bb6a-bbb83f1e7ea4:LOC,20231205,1
chouette:TimeTable:b00b8c68-5cf9-4223-bb6a-bbb83f1e7ea4:LOC,20231206,1
chouette:TimeTable:b00b8c68-5cf9-4223-bb6a-bbb83f1e7ea4:LOC,20231207,1
chouette:TimeTable:b00b8c68-5cf9-4223-bb6a-bbb83f1e7ea4:LOC,20231208,1
chouette:TimeTable:b00b8c68-5cf9-4223-bb6a-bbb83f1e7ea4:LOC,20231211,1
chouette:TimeTable:b00b8c68-5cf9-4223-bb6a-bbb83f1e7ea4:LOC,20231212,1
chouette:TimeTable:b00b8c68-5cf9-4223-bb6a-bbb83f1e7ea4:LOC,20231213,1
chouette:TimeTable:b00b8c68-5cf9-4223-bb6a-bbb83f1e7ea4:LOC,20231214,1
chouette:TimeTable:b00b8c68-5cf9-4223-bb6a-bbb83f1e7ea4:LOC,20231215,1
chouette:TimeTable:b00b8c68-5cf9-4223-bb6a-bbb83f1e7ea4:LOC,20231218,1
chouette:TimeTable:b00b8c68-5cf9-4223-bb6a-bbb83f1e7ea4:LOC,20231219,1
chouette:TimeTable:b00b8c68-5cf9-4223-bb6a-bbb83f1e7ea4:LOC,20231220,1
chouette:TimeTable:b00b8c68-5cf9-4223-bb6a-bbb83f1e7ea4:LOC,20231221,1
chouette:TimeTable:b00b8c68-5cf9-4223-bb6a-bbb83f1e7ea4:LOC,20231222,1
chouette:TimeTable:aae042eb-50c8-40f0-adbd-268076fe8552:LOC,20231125,1
chouette:TimeTable:aae042eb-50c8-40f0-adbd-268076fe8552:LOC,20231202,1
chouette:TimeTable:aae042eb-50c8-40f0-adbd-268076fe8552:LOC,20231209,1
chouette:TimeTable:aae042eb-50c8-40f0-adbd-268076fe8552:LOC,20231216,1
chouette:TimeTable:76902a8a-0786-4c70-b950-4ee1df600087:LOC,20231127,1
chouette:TimeTable:76902a8a-0786-4c70-b950-4ee1df600087:LOC,20231128,1
chouette:TimeTable:76902a8a-0786-4c70-b950-4ee1df600087:LOC,20231129,1
chouette:TimeTable:76902a8a-0786-4c70-b950-4ee1df600087:LOC,20231130,1
chouette:TimeTable:76902a8a-0786-4c70-b950-4ee1df600087:LOC,20231201,1
chouette:TimeTable:76902a8a-0786-4c70-b950-4ee1df600087:LOC,20231204,1
chouette:TimeTable:76902a8a-0786-4c70-b950-4ee1df600087:LOC,20231205,1
chouette:TimeTable:76902a8a-0786-4c70-b950-4ee1df600087:LOC,20231206,1
chouette:TimeTable:76902a8a-0786-4c70-b950-4ee1df600087:LOC,20231207,1
chouette:TimeTable:76902a8a-0786-4c70-b950-4ee1df600087:LOC,20231208,1
chouette:TimeTable:76902a8a-0786-4c70-b950-4ee1df600087:LOC,20231211,1
chouette:TimeTable:76902a8a-0786-4c70-b950-4ee1df600087:LOC,20231212,1
chouette:TimeTable:76902a8a-0786-4c70-b950-4ee1df600087:LOC,20231213,1
chouette:TimeTable:76902a8a-0786-4c70-b950-4ee1df600087:LOC,20231214,1
chouette:TimeTable:76902a8a-0786-4c70-b950-4ee1df600087:LOC,20231215,1
chouette:TimeTable:76902a8a-0786-4c70-b950-4ee1df600087:LOC,20231218,1
chouette:TimeTable:76902a8a-0786-4c70-b950-4ee1df600087:LOC,20231219,1
chouette:TimeTable:76902a8a-0786-4c70-b950-4ee1df600087:LOC,20231220,1
chouette:TimeTable:76902a8a-0786-4c70-b950-4ee1df600087:LOC,20231221,1
chouette:TimeTable:76902a8a-0786-4c70-b950-4ee1df600087:LOC,20231222,1
